N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
146,코오롱인더,"78,800","1,600",-1.99%,"5,000","21,259","26,979",19.34,"469,761",26.11,9.70,
147,HDC현대산업개발,"31,750","1,050",-3.20%,"5,000","20,926","65,907",11.71,"813,953",10.11,8.85,
148,동국제강,"21,650",200,+0.93%,"5,000","20,661","95,433",21.59,"2,781,625",9.81,3.35,
149,현대엘리베이,"50,500","1,500",-2.88%,"5,000","20,612","40,815",28.94,"445,937",18.42,9.78,
150,한전기술,"52,600","1,800",-3.31%,200,"20,104","38,220",2.79,"556,280",120.09,N/A,
151,금호타이어,"6,930",340,-4.68%,"5,000","19,907","287,260",4.22,"1,935,803",-130.75,-6.74,
152,오뚜기,"534,000","5,000",-0.93%,"5,000","19,608","3,672",12.90,"9,380",20.25,7.93,
153,현대백화점,"81,800","1,700",-2.04%,"5,000","19,143","23,402",19.33,"332,439",19.64,1.65,
154,한전KPS,"42,000","1,400",-3.23%,200,"18,900","45,000",8.75,"363,680",17.51,8.23,
155,농심,"310,500","3,500",-1.11%,"5,000","18,887","6,083",13.57,"44,654",14.67,7.50,
156,KODEX 삼성그룹,"10,320",160,-1.53%,0,"18,772","181,900",0.10,"234,583",N/A,N/A,
157,프레스티지바이오파마,"31,200",550,-1.73%,0,"18,750","60,096",63.90,"394,864",-92.86,N/A,
158,대웅제약,"160,500","2,000",-1.23%,"2,500","18,596","11,587",5.27,"128,149",-168.59,2.38,
159,영원무역,"41,850",450,-1.06%,500,"18,544","44,311",26.95,"110,152",12.00,8.03,
160,아이에스동서,"58,400","1,000",-1.68%,500,"18,041","30,893",4.82,"64,868",14.11,10.92,
161,한국앤컴퍼니,"18,900",450,-2.33%,500,"17,943","94,935",10.03,"252,622",8.71,5.08,
162,KG동부제철,"17,250",50,+0.29%,"5,000","17,252","100,009",1.11,"634,638",19.12,7.18,
163,롯데정밀화학,"66,400","2,300",-3.35%,"5,000","17,131","25,800",19.92,"273,522",8.73,12.65,
164,한미반도체,"34,150","1,100",-3.12%,200,"16,891","49,460",7.18,"488,706",27.90,21.03,
165,LS ELECTRIC,"55,700",700,-1.24%,"5,000","16,710","30,000",14.20,"80,417",21.24,6.15,
166,DL,"78,900",400,-0.50%,"5,000","16,534","20,956",15.85,"95,093",4.23,11.84,
167,LG생활건강우,"787,000","8,000",+1.03%,"5,000","16,525","2,100",85.54,"6,262",16.96,N/A,
168,두산,"99,500","5,000",-4.78%,"5,000","16,441","16,524",11.30,"136,565",-11.97,-34.34,
169,지누스,"103,000","3,000",-2.83%,500,"16,274","15,800",22.93,"103,485",33.99,11.61,
170,KODEX 단기채권PLUS,"103,110",30,+0.03%,0,"16,021","15,538",0.00,"74,803",N/A,N/A,
171,에스엘,"33,100",100,+0.30%,500,"15,955","48,203",16.75,"209,034",14.45,4.74,
172,녹십자홀딩스,"33,900",700,-2.02%,500,"15,943","47,028",4.80,"143,362",9.00,19.74,
173,NHN,"80,900","1,300",-1.58%,500,"15,828","19,565",12.02,"119,726",59.05,1.35,
174,명신산업,"30,050",650,-2.12%,500,"15,767","52,470",1.17,"1,261,963",-13.03,-67.39,
175,솔루스첨단소재,"50,800",700,+1.40%,100,"15,540","30,590",5.61,"333,531",-140.33,-5.10,
176,종근당,"134,000","2,500",-1.83%,"2,500","15,311","11,426",7.77,"109,306",17.24,17.88,
177,DGB금융지주,"9,000",0,0.00%,"5,000","15,223","169,146",48.25,"477,966",4.14,6.93,
178,코스맥스,"133,000","3,000",-2.21%,500,"15,095","11,350",23.10,"89,260",41.84,6.23,
179,대한유화,"228,500","3,000",-1.30%,"5,000","14,852","6,500",19.26,"67,959",6.51,6.93,
180,SK네트웍스,"5,980",100,+1.70%,"2,500","14,842","248,188",12.82,"1,310,256",14.34,1.63,
181,부광약품,"20,500",50,-0.24%,500,"14,568","71,063",4.51,"951,184",-154.14,-2.46,
